"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1432.97155761719
"FDW14","OUT017",1388.63562011719
"NCN55","OUT010",705.213989257812
"FDQ58","OUT017",2415.14501953125
"FDY38","OUT027",5499.939453125
"FDH56","OUT046",1885.06677246094
"FDL48","OUT018",622.621948242188
"FDC48","OUT027",2294.80053710938
"FDN33","OUT045",1486.60864257812
"FDA36","OUT017",3068.60034179688
"FDT44","OUT017",1908.62609863281
"FDQ56","OUT045",1405.04931640625
"NCC54","OUT019",779.791564941406
"FDU11","OUT049",1970.63818359375
"DRL59","OUT013",715.448608398438
"FDM24","OUT049",2396.29760742188
"FDI57","OUT045",3187.46826171875
"DRC12","OUT018",2806.37646484375
"NCM42","OUT027",2765.2021484375
"FDA46","OUT010",491.178985595703
"FDA31","OUT013",2630.53881835938
"NCJ31","OUT035",3610.63500976562
"FDG52","OUT046",739.379272460938
"NCL19","OUT019",410.808166503906
"FDS10","OUT035",3087.8291015625
"FDX22","OUT010",694.384521484375
"NCF19","OUT035",758.208740234375
"NCE06","OUT046",2512.83666992188
"DRC27","OUT046",3832.60009765625
"FDE21","OUT035",1918.44421386719
"NCR42","OUT019",86.4703369140625
"FDX51","OUT018",2724.38916015625
"NCR06","OUT018",495.979431152344
"FDU31","OUT027",5487.00390625
"FDU59","OUT017",2353.01220703125
"FDR03","OUT027",4608.83984375
"FDS49","OUT027",2355.822265625
"FDD48","OUT010",283.340698242188
"NCF18","OUT017",3022.92553710938
"NCD43","OUT027",2660.43701171875
"NCD54","OUT018",1959.43884277344
"FDY19","OUT010",352.92919921875
"NCY54","OUT017",2671.91015625
"NCL19","OUT018",2228.125
"FDP23","OUT010",535.585571289062
"FDC26","OUT013",1705.54553222656
"FDR14","OUT010",160.627365112305
"NCS41","OUT035",3065.15185546875
"FDF41","OUT035",3664.67822265625
"FDU34","OUT046",1996.23425292969
"DRH11","OUT046",909.369934082031
"FDM03","OUT013",1713.84948730469
"FDS31","OUT017",3059.58081054688
"FDJ20","OUT017",1954.63757324219
"FDV44","OUT027",4830.130859375
"FDG02","OUT049",2971.681640625
"FDA09","OUT013",3085.12841796875
"FDT04","OUT013",628.664245605469
"FDL58","OUT019",579.213500976562
"FDE52","OUT045",1392.65283203125
"FDW12","OUT035",2500.90625
"FDL51","OUT017",3749.0751953125
"NCY42","OUT027",3092.90405273438
"FDR07","OUT017",1483.54455566406
"FDN40","OUT045",2284.04760742188
"FDB35","OUT027",2522.57568359375
"FDA22","OUT017",2822.36987304688
"NCL06","OUT046",3784.14331054688
"FDI35","OUT013",3469.59985351562
"NCW42","OUT045",3456.20654296875
